index	id	part	count	fr_scr_sum	fr_p_add	to_scr_sum	to_p_add	count_agg	fr_sum	to_sum
53	TA0043_T1592_001	0.006804	 1	 0.666778	 0.500239	 2.51255	 0.927485	 189.0	 0.27758	 1.11632
54	TA0006_T1110_Any	0.00675	 5	 1.697959	 0.841252	 0.929405	 0.631278	 140.0	 1.42276	 0.33225
55	TA0001_T1566_Any	0.006688	 4	 3.541687	 0.977358	 2.608271	 0.935694	 418.0	 2.42754	 1.36646
56	TA0011_T1071_004	0.006478	 1	 0.67285	 0.498639	 2.261258	 0.914712	 154.0	 0.47591	 1.1363
57	TA0008_T1021_Any	0.005994	 7	 4.809465	 0.994909	 4.530234	 0.995646	 561.0	 3.33275	 1.43346
58	TA0001_T1566_None	0.00594	 1	 0.596954	 0.45363	 2.228313	 0.902227	 224.0	 0.44561	 1.07607
59	TA0006_T1003_Any	0.005664	 8	 3.681933	 0.986924	 1.785732	 0.849998	 246.0	 3.08696	 1.14674
60	TA0042_T1584_001	0.005658	 1	 0.948691	 0.621509	 2.381683	 0.917419	 266.0	 0.56073	 1.00352
61	TA0002_T1204_001	0.005581	 1	 0.232938	 0.20929	 0.605865	 0.460803	 83.0	 0.16255	 0.29356
62	TA0006_T1110_None	0.005076	 1	 0.475766	 0.384102	 0.928248	 0.617907	 102.0	 0.3725	 0.25868
63	TA0011_T1102_Any	0.005063	 3	 3.738063	 0.988229	 3.376743	 0.989701	 146.0	 3.10555	 3.07861
64	TA0001_T1078_Any	0.004953	 5	 3.511177	 0.977037	 3.337821	 0.974618	 430.0	 2.50054	 2.06062
65	TA0043_T1593_001	0.004851	 1	 0.994519	 0.642658	 3.959307	 0.993294	 112.0	 0.60903	 2.06505
66	TA0042_T1583_001	0.004794	 1	 0.960626	 0.626336	 2.04282	 0.88089	 266.0	 0.56223	 0.83767
67	TA0043_T1596_Any	0.004763	 6	 6.464981	 0.999618	 2.350883	 0.92676	 367.0	 3.4358	 0.8777
68	TA0043_T1598_None	0.004677	 1	 1.292366	 0.745727	 3.287908	 0.974259	 156.0	 0.65885	 1.23985
69	TA0002_T1053_005	0.004529	 1	 0.454999	 0.372004	 1.941312	 0.894123	 66.0	 0.20554	 0.35893
70	TA0011_T1102_None	0.004501	 1	 1.898388	 0.880143	 3.745442	 0.992277	 136.0	 1.67599	 2.99025
71	TA0043_T1590_005	0.004291	 1	 0.736288	 0.529179	 2.956502	 0.959012	 136.0	 0.50453	 1.33071
72	TA0043_T1593_None	0.004105	 1	 0.917594	 0.615158	 2.662102	 0.948563	 151.0	 0.48997	 0.82694
73	TA0009_T1213_Any	0.003836	 3	 1.421489	 0.775401	 0.849256	 0.590545	 101.0	 0.99741	 0.3719
74	TA0042_T1586_Any	0.003591	 3	 3.512048	 0.986582	 2.270153	 0.916629	 193.0	 2.53196	 1.24153
75	TA0009_T1056_Any	0.003355	 4	 3.087939	 0.973019	 2.650761	 0.955736	 211.0	 1.51769	 0.88357
76	TA0042_T1585_Any	0.003314	 3	 3.584945	 0.987399	 2.059139	 0.893498	 183.0	 2.47422	 1.08115
77	TA0006_T1552_Any	0.00308	 8	 5.061618	 0.998889	 1.668951	 0.897154	 140.0	 3.65932	 0.1526
78	TA0011_T1001_Any	0.003	 3	 1.173077	 0.724957	 1.457514	 0.869523	 42.0	 0.46101	 1.1422
79	TA0043_T1592_003	0.002831	 1	 0.571266	 0.444875	 1.171976	 0.710455	 83.0	 0.27737	 0.50025
80	TA0006_T1558_Any	0.002757	 4	 2.498667	 0.930515	 1.571284	 0.815206	 149.0	 1.24626	 0.56995
81	TA0006_T1555_Any	0.002445	 4	 2.413457	 0.957906	 0.135674	 0.129132	 55.0	 2.31058	 0.03194
82	TA0004_T1078_Any	0.002386	 5	 3.748542	 0.98414	 2.65304	 0.950364	 317.0	 2.81284	 1.77443
83	TA0002_T1559_Any	0.00238	 3	 1.645591	 0.826258	 1.066173	 0.684315	 141.0	 0.62278	 0.49728
84	TA0043_T1596_None	0.002361	 1	 1.105476	 0.687027	 2.106586	 0.899815	 129.0	 0.53427	 0.51995
85	TA0042_T1584_006	0.002142	 1	 2.234776	 0.928282	 1.690725	 0.84326	 113.0	 1.70679	 0.97815
86	TA0006_T1003_None	0.002065	 1	 0.55567	 0.429242	 2.146329	 0.8959	 135.0	 0.31512	 0.99677
87	TA0043_T1595_Any	0.002029	 2	 1.250838	 0.754401	 0.897649	 0.62501	 79.0	 0.58755	 0.25101
88	TA0042_T1588_None	0.001989	 1	 1.206392	 0.719542	 1.607622	 0.816474	 139.0	 0.64721	 0.7713
89	TA0042_T1584_None	0.001968	 1	 1.476361	 0.791677	 1.752967	 0.843854	 142.0	 0.74497	 0.75067
90	TA0043_T1594_None	0.001953	 1	 1.07666	 0.684678	 1.305076	 0.756483	 96.0	 0.49325	 0.32717
91	TA0011_T1573_Any	0.001953	 3	 2.32806	 0.920613	 1.830219	 0.861193	 176.0	 1.35158	 0.77573
92	TA0001_T1078_None	0.001949	 1	 0.667668	 0.491146	 1.166914	 0.698836	 184.0	 0.46946	 0.56946
93	TA0042_T1583_006	0.001945	 1	 2.260812	 0.930543	 1.587967	 0.822246	 113.0	 1.71949	 0.91139
94	TA0042_T1583_None	0.001891	 1	 1.266884	 0.73711	 1.67075	 0.82877	 142.0	 0.62278	 0.68914
95	TA0042_T1587_None	0.001887	 1	 1.102571	 0.687367	 1.503801	 0.794157	 139.0	 0.58363	 0.73458
96	TA0042_T1586_None	0.00186	 1	 0.978193	 0.641786	 1.164773	 0.707744	 83.0	 0.67421	 0.59263
97	TA0043_T1595_None	0.001843	 1	 1.097624	 0.685107	 1.43206	 0.781767	 119.0	 0.60555	 0.39266
98	TA0003_T1136_Any	0.001799	 4	 3.514711	 0.979074	 3.494869	 0.988402	 204.0	 2.26527	 1.11061
99	TA0008_T1021_None	0.001784	 1	 0.624235	 0.468064	 1.35119	 0.756788	 160.0	 0.36512	 0.32291
100	TA0004_T1574_Any	0.00176	 9	 3.967506	 0.991164	 1.599348	 0.860903	 125.0	 1.84136	 0.02525
101	TA0008_T1021_004	0.001734	 1	 0.494358	 0.394206	 2.3562	 0.939027	 143.0	 0.18628	 0.49268
102	TA0002_T1053_004	0.001716	 1	 0.678353	 0.502758	 2.760204	 0.963416	 59.0	 0.29784	 0.99665
103	TA0002_T1559_001	0.00171	 1	 0.504726	 0.400963	 1.150836	 0.716457	 80.0	 0.28064	 0.44296
104	TA0009_T1557_Any	0.001658	 3	 1.642421	 0.829314	 1.127973	 0.69033	 103.0	 1.38606	 0.65881
105	TA0042_T1608_Any	0.001604	 4	 6.735127	 0.999729	 1.705129	 0.837421	 202.0	 3.23431	 0.70236
